看似	看似	AUX	cop	簡單	簡單	ADJ	1
簡單	簡單	ADJ	acl	是	是	VERB	1
,	,	PUNCT	punct	是	是	VERB	117
只	只	ADV	advmod	是	是	VERB	8
是	是	VERB	dep	自己	自己	PRON	1
二	二	NUM	advmod	選	選	VERB	1
選	選	VERB	acl	做	做	VERB	1
一	一	NUM	obj	選	選	VERB	2
做	做	VERB	xcomp	是	是	VERB	3
決擇	決擇	NOUN	obj	做	做	VERB	1
,	,	PUNCT	punct	自己	自己	PRON	4
但	但	ADV	mark	好友	好友	NOUN	1
其實	其實	ADV	advmod	好友	好友	NOUN	1
他	他們	PRON	nsubj	代表	代表	VERB	1
代表	代表	VERB	csubj	好友	好友	NOUN	1
的	的	PART	mark:relcl	代表	代表	VERB	2
是	是	AUX	cop	好友	好友	NOUN	2
你	你	PRON	nsubj	周遭	周遭	NOUN	1
周遭	周遭	NOUN	det	好友	好友	NOUN	1
的	的	PART	case:dec	周遭	周遭	NOUN	1
親朋	親朋	NOUN	nmod	好友	好友	NOUN	1
好友	好友	NOUN	dep	自己	自己	PRON	1
試	試	VERB	dep	自己	自己	PRON	1
著	著	PART	case:aspect	試	試	VERB	2
給	給	VERB	xcomp	試	試	VERB	1
你	你	PRON	iobj	給	給	VERB	1
不同	不同	ADJ	amod	意見	意見	NOUN	4
的	的	PART	mark:relcl	不同	不同	ADJ	27
意見	意見	NOUN	obj	給	給	VERB	1
但	但	ADV	mark	自己	自己	PRON	1
追根究底	追根究底	VERB	acl	自己	自己	PRON	1
最後	最後	NOUN	nmod:tmod	決定	決定	VERB	2
決定	決定	VERB	csubj	自己	自己	PRON	1
的	的	PART	mark:relcl	決定	決定	VERB	1
還是	還是	AUX	cop	自己	自己	PRON	1
自己	自己	PRON	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	自己	自己	PRON	1
其	其	PRON	nmod	便當	便當	NOUN	1
便當	便當	NOUN	nsubj	由	由	VERB	1
都是	都是	VERB	acl	由	由	VERB	1
買來	買來	VERB	xcomp	都是	都是	VERB	1
的	的	X	discourse	都是	都是	VERB	4
,	,	PUNCT	punct	由	由	VERB	89
就算	就算	ADP	case	加熱	加熱	VERB	1
加熱	加熱	VERB	csubj	由	由	VERB	1
也是	也是	ADV	mark	由	由	VERB	1
由	由	VERB	dep	上班	上班	VERB	1
媽媽	媽媽	NOUN	nsubj	負責	負責	VERB	1
負責	負責	VERB	ccomp	由	由	VERB	15
(	(	PUNCT	punct	是	是	VERB	1
後來	後來	NOUN	nmod:tmod	揭曉	揭曉	VERB	1
揭曉	揭曉	VERB	csubj	是	是	VERB	1
其實	其實	ADV	advmod	是	是	VERB	1
是	是	VERB	dep	上班	上班	VERB	1
避免	避免	VERB	xcomp	是	是	VERB	1
帶來	帶來	VERB	xcomp	避免	避免	VERB	1
厄運	厄運	NOUN	obj	帶來	帶來	VERB	1
)	)	PUNCT	punct	是	是	VERB	1
,	,	PUNCT	punct	上班	上班	VERB	1
父親	父親	NOUN	nsubj	上班	上班	VERB	1
則	則	ADV	mark	上班	上班	VERB	1
在	在	VERB	acl	上班	上班	VERB	1
電視	電視	NOUN	case:suff	台	台	PART	12
台	台	PART	obj	在	在	VERB	3
上班	上班	VERB	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	上班	上班	VERB	1
這	這	DET	det	次	次	NOUN	10
次	次	NOUN	clf	遊行	遊行	NOUN	1
遊行	遊行	NOUN	nmod	特色	特色	NOUN	1
最大	最大	ADJ	amod	特色	特色	NOUN	1
的	的	PART	mark:relcl	最大	最大	ADJ	16
特色	特色	NOUN	nsubj	在	在	VERB	1
,	,	PUNCT	punct	在	在	VERB	19
在	在	VERB	dep	不乏	不乏	VERB	1
於	於	VERB	mark	在	在	VERB	8
越來越	越來越	ADV	amod	人	人	PART	1
多	多	ADJ	amod	人	人	PART	1
年輕	年輕	ADJ	case:suff	人	人	PART	2
人	人	PART	nsubj	遊行	遊行	VERB	1
上街	上街	VERB	acl	遊行	遊行	VERB	1
遊行	遊行	VERB	ccomp	在	在	VERB	1
,	,	PUNCT	punct	不乏	不乏	VERB	1
而且	而且	ADV	mark	不乏	不乏	VERB	1
當中	當中	NOUN	advmod	不乏	不乏	VERB	1
不乏	不乏	VERB	root	ROOT	ROOT	ROOT	1
行動	行動	NOUN	nsubj	激烈	激烈	ADJ	1
激烈	激烈	ADJ	acl:relcl	少年	少年	NOUN	1
的	的	PART	mark:relcl	激烈	激烈	ADJ	2
躁	躁	PART	case:pref	少年	少年	NOUN	1
少年	少年	NOUN	obj	不乏	不乏	VERB	1
.	.	PUNCT	punct	不乏	不乏	VERB	1
懷孕	懷孕	VERB	case:suff	期	期	PART	2
期	期	PART	nsubj	日	日	NOUN	1
為	為	AUX	cop	日	日	NOUN	6
421	421	NUM	nummod	日	日	NOUN	1
至	至	CCONJ	cc	457	457	NUM	1
457	457	NUM	conj	421	421	NUM	1
日	日	NOUN	root	ROOT	ROOT	ROOT	5
.	.	PUNCT	punct	日	日	NOUN	5
婷婷	婷婷	PROPN	nsubj	訴說	訴說	VERB	1
向	向	ADP	case	婆婆	婆婆	NOUN	1
昏迷	昏迷	VERB	acl:relcl	婆婆	婆婆	NOUN	1
中	中	ADP	mark	昏迷	昏迷	VERB	1
的	的	PART	mark:relcl	昏迷	昏迷	VERB	1
婆婆	婆婆	NOUN	obl	訴說	訴說	VERB	1
訴說	訴說	VERB	root	ROOT	ROOT	ROOT	1
,	,	PUNCT	punct	訴說	訴說	VERB	1
為	為	ADP	case	什麼	什麼	PRON	5
什麼	什麼	PRON	nmod	一樣	一樣	ADJ	1
生活	生活	NOUN	nsubj	一樣	一樣	ADJ	1
會	會	AUX	aux	一樣	一樣	ADJ	1
與	與	ADP	case	想像	想像	VERB	1
她	她	PRON	nsubj	想像	想像	VERB	1
想像	想像	VERB	ccomp	一樣	一樣	ADJ	1
的	的	PART	mark:relcl	想像	想像	VERB	1
不	不	ADV	advmod	一樣	一樣	ADJ	3
一樣	一樣	ADJ	ccomp	訴說	訴說	VERB	1
.	.	PUNCT	punct	訴說	訴說	VERB	1
就算	就算	ADP	case	找到	找到	VERB	1
數論	數論	NOUN	det	應用	應用	NOUN	1
的	的	PART	case:dec	數論	數論	NOUN	1
應用	應用	NOUN	nsubj:pass	找到	找到	VERB	1
被	被	VERB	aux:pass	找到	找到	VERB	1
找到	找到	VERB	ccomp	有	有	VERB	1
了	了	X	discourse	找到	找到	VERB	1
,	,	PUNCT	punct	有	有	VERB	208
也	也	ADV	mark	有	有	VERB	20
不會	不會	AUX	aux	有	有	VERB	1
有	有	VERB	root	ROOT	ROOT	ROOT	192
人	人	NOUN	nsubj	罷黜	罷黜	VERB	1
會	會	AUX	aux	罷黜	罷黜	VERB	1
因	因	ADP	case	此	此	PRON	70
此	此	PRON	obl	罷黜	罷黜	VERB	1
罷黜	罷黜	VERB	ccomp	有	有	VERB	1
這	這	DET	det	一	一	NUM	3
一	一	NUM	nummod	皇后	皇后	NOUN	1
數學	數學	NOUN	det	皇后	皇后	NOUN	1
的	的	PART	case:dec	數學	數學	NOUN	3
皇后	皇后	NOUN	obj	罷黜	罷黜	VERB	1
.	.	PUNCT	punct	有	有	VERB	181
一中	一中	PROPN	nmod	商圈	商圈	NOUN	1
商圈	商圈	NOUN	nmod	特色	特色	NOUN	1
另	另	DET	det	一	一	NUM	6
一	一	NUM	nummod	特色	特色	NOUN	2
特色	特色	NOUN	nsubj	為	為	VERB	1
為	為	VERB	dep	增加	增加	VERB	1
同	同	DET	det	類型	類型	NOUN	3
類型	類型	NOUN	nmod	商店	商店	NOUN	1
商店	商店	NOUN	nsubj	聚集	聚集	VERB	1
會	會	AUX	aux	聚集	聚集	VERB	1
聚集	聚集	VERB	ccomp	為	為	VERB	1
,	,	PUNCT	punct	增加	增加	VERB	12
短短	短短	ADJ	amod	街	街	PART	1
的	的	PART	mark:relcl	短短	短短	ADJ	2
育才	育才	PROPN	case:suff	街	街	PART	1
街	街	PART	nsubj	聚集	聚集	VERB	1
聚集	聚集	VERB	dep	增加	增加	VERB	1
了	了	PART	case:aspect	聚集	聚集	VERB	2
十數	十數	NUM	nummod	家	家	NOUN	1
家	家	NOUN	nmod	店	店	PART	1
知名	知名	ADJ	amod	店	店	PART	1
眼鏡	眼鏡	NOUN	nmod	店	店	PART	1
連鎖	連鎖	NOUN	case:suff	店	店	PART	1
店	店	PART	obj	聚集	聚集	VERB	1
而	而	ADV	mark	連成	連成	VERB	1
體育	體育	NOUN	nmod	店	店	PART	1
用品	用品	NOUN	case:suff	店	店	PART	1
店	店	PART	nsubj	連成	連成	VERB	1
沿著	沿著	ADP	case	路	路	PART	1
太平	太平	PROPN	case:suff	路	路	PART	1
路	路	PART	obl	連成	連成	VERB	1
連成	連成	VERB	dep	增加	增加	VERB	1
一	一	NUM	nummod	線	線	NOUN	1
線	線	NOUN	obj	連成	連成	VERB	1
在	在	ADP	case	競爭	競爭	NOUN	1
激烈	激烈	ADJ	amod	競爭	競爭	NOUN	1
競爭	競爭	NOUN	nmod	不少	不少	ADJ	1
下	下	ADP	acl	競爭	競爭	NOUN	1
價格	價格	NOUN	nsubj	不少	不少	ADJ	1
比	比	ADP	case	外地	外地	NOUN	1
外地	外地	NOUN	nmod	不少	不少	ADJ	1
便宜	便宜	ADJ	cop	不少	不少	ADJ	1
不少	不少	ADJ	dep	增加	增加	VERB	1
貨	貨	NOUN	nsubj	比	比	VERB	1
比	比	VERB	csubj	增加	增加	VERB	1
三	三	NUM	nummod	家	家	NOUN	1
家	家	NOUN	obj	比	比	VERB	1
更	更	ADV	advmod	增加	增加	VERB	1
增加	增加	VERB	root	ROOT	ROOT	ROOT	6
購物	購物	NOUN	nmod	樂趣	樂趣	NOUN	1
樂趣	樂趣	NOUN	obj	增加	增加	VERB	1
.	.	PUNCT	punct	增加	增加	VERB	6
《	《	PUNCT	punct	女皇	女皇	NOUN	1
一	一	NUM	nummod	代	代	NOUN	3
代	代	NOUN	clf	女皇	女皇	NOUN	1
女皇	女皇	NOUN	nsubj	開錄	開錄	VERB	1
》	》	PUNCT	punct	女皇	女皇	NOUN	1
開錄	開錄	VERB	amod	當日	當日	NOUN	1
當日	當日	NOUN	nmod	者	者	PART	1
掌鏡	掌鏡	VERB	case:suff	者	者	PART	1
者	者	PART	nsubj	世綱	世綱	PROPN	1
是	是	AUX	cop	世綱	世綱	PROPN	1
導播	導播	NOUN	advmod	出身	出身	VERB	1
出身	出身	VERB	acl:relcl	世綱	世綱	PROPN	1
的	的	PART	mark:relcl	出身	出身	VERB	1
當時	當時	NOUN	nmod	經理	經理	NOUN	1
中視	中視	PROPN	nmod	經理	經理	NOUN	1
節目	節目	NOUN	case:suff	部	部	PART	1
部	部	PART	nmod	經理	經理	NOUN	1
經理	經理	NOUN	appos	世綱	世綱	PROPN	1
王	王	PROPN	nmod	世綱	世綱	PROPN	1
世綱	世綱	PROPN	root	ROOT	ROOT	ROOT	1
.	.	PUNCT	punct	世綱	世綱	PROPN	1
我	我們	PRON	nsubj	希望	希望	VERB	1
只	只	ADV	advmod	希望	希望	VERB	1
希望	希望	VERB	root	ROOT	ROOT	ROOT	7
,	,	PUNCT	punct	希望	希望	VERB	8
藉著	藉著	ADP	case	生	生	NOUN	1
這	這	DET	det	個	個	NOUN	56
個	個	NOUN	clf	歷史	歷史	NOUN	1
歷史	歷史	NOUN	nmod	生	生	NOUN	1
上	上	ADP	acl	歷史	歷史	NOUN	15
真實	真實	ADJ	amod	人物	人物	NOUN	2
人物	人物	NOUN	det	生	生	NOUN	1
的	的	PART	case:dec	人物	人物	NOUN	3
一	一	NUM	nummod	生	生	NOUN	4
生	生	NOUN	obl	帶給	帶給	VERB	1
,	,	PUNCT	punct	帶給	帶給	VERB	5
利用	利用	VERB	acl	帶給	帶給	VERB	1
一些	一些	ADJ	amod	資料	資料	NOUN	2
稗官野史	稗官野史	NOUN	det	資料	資料	NOUN	1
的	的	PART	case:dec	稗官野史	稗官野史	NOUN	1
片段	片段	NOUN	nmod	資料	資料	NOUN	1
資料	資料	NOUN	obj	利用	利用	VERB	1
再	再	ADV	advmod	加上	加上	VERB	1
加上	加上	VERB	acl	帶給	帶給	VERB	1
一些	一些	ADJ	amod	情節	情節	NOUN	1
善意	善意	NOUN	advmod	改編	改編	VERB	1
改編	改編	VERB	acl:relcl	情節	情節	NOUN	1
的	的	PART	mark:relcl	改編	改編	VERB	2
部分	部分	NOUN	nmod	情節	情節	NOUN	1
情節	情節	NOUN	obj	加上	加上	VERB	1
而	而	ADV	mark	帶給	帶給	VERB	1
能	能	AUX	aux	帶給	帶給	VERB	1
帶給	帶給	VERB	xcomp	希望	希望	VERB	1
觀眾	觀眾	NOUN	iobj	帶給	帶給	VERB	1
一些	一些	ADJ	amod	啟示	啟示	NOUN	1
啟示	啟示	NOUN	obj	帶給	帶給	VERB	1
.	.	PUNCT	punct	希望	希望	VERB	7
」	」	PUNCT	punct	希望	希望	VERB	1
當時	當時	NOUN	nmod:tmod	傳聞	傳聞	VERB	1
外界	外界	NOUN	obl	傳聞	傳聞	VERB	1
傳聞	傳聞	VERB	dep	否認	否認	VERB	1
樊	樊	PROPN	nmod	日行	日行	PROPN	2
日行	日行	PROPN	nsubj	是	是	VERB	1
是	是	VERB	ccomp	傳聞	傳聞	VERB	1
在	在	ADP	case	授意	授意	NOUN	1
中視	中視	PROPN	nmod	授意	授意	NOUN	1
主管	主管	NOUN	nmod	授意	授意	NOUN	1
授意	授意	NOUN	obl	裝病	裝病	VERB	1
下	下	ADP	acl	授意	授意	NOUN	1
裝病	裝病	VERB	xcomp	是	是	VERB	1
,	,	PUNCT	punct	否認	否認	VERB	1
日行	日行	PROPN	nsubj	否認	否認	VERB	1
否認	否認	VERB	root	ROOT	ROOT	ROOT	1
:	:	PUNCT	punct	否認	否認	VERB	1
「	「	PUNCT	punct	不是	不是	VERB	1
人	人	NOUN	nsubj	生病	生病	VERB	1
都是	都是	VERB	acl	生病	生病	VERB	1
吃	吃	VERB	acl	長大	長大	VERB	1
