woman that sleeps
Correct	Parser	Rerank	Total	Translation
	38.21184158325195	5.491278105037058	43.70311968828901	* kvinna som sover
	39.0281982421875	5.491278105037058	44.519476347224554	* kvinna som sover
	39.0281982421875	5.491278105037058	44.519476347224554	* kvinna som sover
	39.237823486328125	5.491278105037058	44.72910159136518	kvinna som sover
	39.83430862426758	9.323669488968088	49.157978113235664	kvinna det där sover
	40.03620529174805	5.491278105037058	45.5274833967851	kvinna som sover
	40.43659210205078	5.491278105037058	45.927870207087835	* kvinnas som sover
	40.66483688354492	11.204338739601814	51.86917562314674	* kvinna det där sover
	41.4811897277832	11.204338739601814	52.68552846738502	* kvinna det där sover
	41.4811897277832	11.204338739601814	52.68552846738502	* kvinna det där sover

woman who sleeps
Correct	Parser	Rerank	Total	Translation
	35.63808822631836	146.26804655687013	181.9061347831885	* kvinna vem sover
	36.45444107055664	146.26804655687013	182.72248762742677	* kvinna vem sover
	36.45444107055664	146.26804655687013	182.72248762742677	* kvinna vem sover
	37.86283493041992	146.26804655687013	184.13088148729005	* kvinnas vem sover
	38.21184158325195	5.491278105037058	43.70311968828901	* kvinna som sover
	39.0281982421875	5.491278105037058	44.519476347224554	* kvinna som sover
	39.0281982421875	5.491278105037058	44.519476347224554	* kvinna som sover
	39.237823486328125	5.491278105037058	44.72910159136518	kvinna som sover
	40.03620529174805	5.491278105037058	45.5274833967851	kvinna som sover
	40.43659210205078	5.491278105037058	45.927870207087835	* kvinnas som sover

woman who sleeps here
Correct	Parser	Rerank	Total	Translation
	43.2098503112793	151.01142363214234	194.22127394342164	* kvinna vem sover här
	44.02620315551758	151.01142363214234	195.03762678765992	* kvinna vem sover här
	44.02620315551758	151.01142363214234	195.03762678765992	* kvinna vem sover här
	45.43459701538086	151.01142363214234	196.4460206475232	* kvinnas vem sover här
	45.78360366821289	10.234655180309272	56.018258848522166	* kvinna som sover här
	46.59996032714844	10.234655180309272	56.83461550745771	* kvinna som sover här
	46.59996032714844	10.234655180309272	56.83461550745771	* kvinna som sover här
	46.80958557128906	10.234655180309272	57.04424075159834	kvinna som sover här
	47.30756378173828	12.80390842001533	60.111472201753614	* kvinna som sover här
	47.30756378173828	12.80390842001533	60.111472201753614	* kvinna som sover här

woman that sleeps here
Correct	Parser	Rerank	Total	Translation
	45.78360366821289	10.234655180309272	56.018258848522166	* kvinna som sover här
	46.59996032714844	10.234655180309272	56.83461550745771	* kvinna som sover här
	46.59996032714844	10.234655180309272	56.83461550745771	* kvinna som sover här
	46.80958557128906	10.234655180309272	57.04424075159834	kvinna som sover här
	47.30756378173828	12.80390842001533	60.111472201753614	* kvinna som sover här
	47.30756378173828	12.80390842001533	60.111472201753614	* kvinna som sover här
	47.406070709228516	14.067046564240302	61.473117273468816	kvinna det där sover här
	47.517189025878906	12.80390842001533	60.32109744589424	kvinna som sover här
	47.607967376708984	10.234655180309272	57.84262255701826	kvinna som sover här
	48.00835418701172	10.234655180309272	58.243009367320994	* kvinnas som sover här

woman that is very old
Correct	Parser	Rerank	Total	Translation
	42.73581314086914	9.908433772630683	52.64424691349983	* kvinna som är mycket gammal
	43.55216979980469	9.908433772630683	53.460603572435375	* kvinna som är mycket gammal
	43.55216979980469	9.908433772630683	53.460603572435375	* kvinna som är mycket gammal
	43.76179504394531	9.908433772630683	53.670228816576	kvinna som är mycket gammal
	44.358280181884766	16.563873212632675	60.92215339451744	kvinna det där är mycket gammal
	44.560176849365234	9.908433772630683	54.46861062199592	kvinna som är mycket gammal
	44.96056365966797	9.908433772630683	54.868997432298656	* kvinnas som är mycket gammal
	45.18880844116211	17.997595767173696	63.1864042083358	* kvinna det där är mycket gammalt
	46.00516128540039	17.997595767173696	64.00275705257408	* kvinna det där är mycket gammalt
	46.00516128540039	17.997595767173696	64.00275705257408	* kvinna det där är mycket gammalt

woman that is old
Correct	Parser	Rerank	Total	Translation
	37.17433547973633	5.55116556475417	42.7255010444905	* kvinna som är gammal
	37.990692138671875	5.55116556475417	43.54185770342605	* kvinna som är gammal
	37.990692138671875	5.55116556475417	43.54185770342605	* kvinna som är gammal
	38.2003173828125	5.55116556475417	43.75148294756667	kvinna som är gammal
	38.79680252075195	12.20660500475616	51.00340752550811	kvinna det där är gammal
	38.99869918823242	5.55116556475417	44.54986475298659	kvinna som är gammal
	39.399085998535156	5.55116556475417	44.95025156328933	* kvinnas som är gammal
	39.6273307800293	13.640327559297182	53.26765833932648	* kvinna det där är gammalt
	40.44368362426758	13.640327559297182	54.08401118356476	* kvinna det där är gammalt
	40.44368362426758	13.640327559297182	54.08401118356476	* kvinna det där är gammalt

whom does she see 
Correct	Parser	Rerank	Total	Translation
	20.166471481323242	16.311421712513656	36.4778931938369	* vem ser hon
	22.56418228149414	16.311421712513656	38.8756039940078	vem ser hon
	22.56418228149414	16.311421712513656	38.8756039940078	vem ser hon
	22.73141860961914	17.13719377537793	39.86861238499707	* vilka ser hon
	25.12912940979004	17.13719377537793	42.26632318516797	vilka ser hon
	25.12912940979004	17.13719377537793	42.26632318516797	vilka ser hon

because she sleeps
Correct	Parser	Rerank	Total	Translation
	33.55070114135742	8.564255991728158	42.11495713308558	* eftersom hon sover
	35.54042053222656	8.564255991728158	44.10467652395472	eftersom hon sover
	36.34560775756836	16.46793751399175	52.81354527156011	* eftersom hon sover
	39.4992790222168	66.93299551858323	106.43227454080002	* eftersom hon sover ut
	39.4992790222168	66.93299551858323	106.43227454080002	* eftersom hon sover ut
	39.639949798583984	16.46793751399175	56.107887312575734	* eftersom hon sover
	45.43555450439453	19.267969923749014	64.70352442814354	* eftersom henne sömnar
	46.59711837768555	19.267969923749014	65.86508830143455	* eftersom henne sömnar
	46.59711837768555	19.267969923749014	65.86508830143455	* eftersom henne sömnar
	48.00551223754883	19.267969923749014	67.27348216129784	* eftersom henne sömnars

between you and me
Correct	Parser	Rerank	Total	Translation
	31.225894927978516	16.64482171750343	47.87071664548195	* mellan dig och mig
	31.225894927978516	16.64482171750343	47.87071664548195	* mellan dig och mig
	31.611425399780273	16.64482171750343	48.256247117283706	* mellan dig och mig
	31.611425399780273	16.64482171750343	48.256247117283706	* mellan dig och mig
	33.215614318847656	16.64482171750343	49.86043603635109	mellan dig och mig
	33.215614318847656	16.64482171750343	49.86043603635109	mellan dig och mig
	33.60114288330078	16.64482171750343	50.245964600804214	mellan dig och mig
	33.60114288330078	16.64482171750343	50.245964600804214	mellan dig och mig
	35.349613189697266	19.112695103469772	54.46230829316704	* mellan dig och mig
	35.349613189697266	19.112695103469772	54.46230829316704	* mellan dig och mig

both here and there
Correct	Parser	Rerank	Total	Translation
	33.69546127319336	6.884707175787335	40.58016844898069	* både här och där
	35.6851806640625	6.884707175787335	42.569887839849834	både här och där
	36.462520599365234	17.223539927130034	53.68606052649527	* båda här och där
	36.462520599365234	17.223539927130034	53.68606052649527	* båda här och där
	36.672142028808594	17.223539927130034	53.89568195593863	båda här och där
	37.870914459228516	17.223539927130034	55.09445438635855	* båda här och där
	40.10953140258789	17.223539927130034	57.333071329717924	* båda här och där
	43.121952056884766	17.223539927130034	60.3454919840148	* båda här och där
	43.121952056884766	17.223539927130034	60.3454919840148	* båda här och där
	44.53035354614258	17.223539927130034	61.75389347327261	* båda här och där

he works at the bank
Correct	Parser	Rerank	Total	Translation
	26.398038864135742	16.54176106077955	42.93979992491529	han arbetar vid banken
	26.398038864135742	45.382769565787	71.78080842992274	han fungerar vid banken
✓	29.45882225036621	16.802663042292245	46.261485292658456	han arbetar vid banken
	29.45882225036621	37.56231095182256	67.02113320218876	han fungerar vid banken
	30.668127059936523	16.54176106077955	47.20988812071607	* han arbetar vid banken
	30.668127059936523	45.382769565787	76.05089662572352	* han fungerar vid banken
	33.11761474609375	16.54176106077955	49.6593758068733	han arbetar vid banken
	33.11761474609375	45.382769565787	78.50038431188075	han fungerar vid banken
	33.207950592041016	169.2381706012436	202.44612119328463	* han ordnar om vid banken
	33.444339752197266	59.15093473850256	92.59527449069984	* han ordnar om vid banken

he works every day
Correct	Parser	Rerank	Total	Translation
	28.010269165039062	48.61464035663589	76.62490952167495	han ordnar om varje dag
	32.280357360839844	48.61464035663589	80.89499771747573	* han ordnar om varje dag
	34.72984313964844	48.61464035663589	83.34448349628433	han ordnar om varje dag
	35.57469940185547	48.61464035663589	84.18933975849136	* han ordnar om varje dag
✓	37.041927337646484	14.780742349178823	51.82266968682531	* han arbetar varje dag
	37.041927337646484	37.862432720702486	74.90436005834897	* han fungerar varje dag
	37.041927337646484	14.780742349178823	51.82266968682531	* han arbetar varje dag
	37.041927337646484	37.862432720702486	74.90436005834897	* han fungerar varje dag
	38.450321197509766	14.780742349178823	53.23106354668859	* han arbetar varje dags
	38.450321197509766	37.862432720702486	76.31275391821225	* han fungerar varje dags

she works with many people
Correct	Parser	Rerank	Total	Translation
✓	33.723697662353516	22.781357917305243	56.50505557965876	hon arbetar med månget folk
	33.723697662353516	31.02955663865698	64.7532543010105	hon fungerar med månget folk
	37.9937858581543	22.781357917305243	60.77514377545954	* hon arbetar med månget folk
	37.9937858581543	31.02955663865698	69.02334249681128	* hon fungerar med månget folk
	41.12018966674805	43.12443255312529	84.24462221987334	hon ordnar om folk med månget
	41.465396881103516	43.12443255312529	84.5898294342288	hon ordnar om folk med månget
	41.22490310668945	43.12443255312529	84.34933565981474	hon ordnar om folk med månget
	41.57011032104492	43.12443255312529	84.69454287417021	hon ordnar om folk med månget
	44.066925048828125	26.168973643507428	70.23589869233555	hon arbetar med månget folk
	44.066925048828125	47.50656747945801	91.57349252828614	hon fungerar med månget folk

my computer works perfectly
Correct	Parser	Rerank	Total	Translation
✓	35.847129821777344	21.206961636085325	57.05409145786267	min dator fungerar perfekt
	35.847129821777344	51.73123280092987	87.5783626227072	min dator arbetar perfekt
	36.232662200927734	21.206961636085325	57.43962383701306	min dator fungerar perfekt
	36.232662200927734	51.73123280092987	87.9638950018576	min dator arbetar perfekt
	39.726043701171875	44.01105159996575	83.73709530113763	dator av mig fungerar perfekt
	39.726043701171875	53.595655227464235	93.32169892863611	dator av mig arbetar perfekt
	40.111576080322266	44.01105159996575	84.12262768028802	dator av mig fungerar perfekt
	40.111576080322266	53.595655227464235	93.7072313077865	dator av mig arbetar perfekt
	40.117218017578125	21.206961636085325	61.32417965366345	* min dator fungerar perfekt
	40.117218017578125	51.73123280092987	91.84845081850798	* min dator arbetar perfekt

my computer works
Correct	Parser	Rerank	Total	Translation
	22.673181533813477	13.80639465260525	36.479576186418726	min dator arbetar
✓	22.673181533813477	13.217131022076417	35.89031255588989	min dator fungerar
	23.058712005615234	13.217131022076417	36.27584302769165	min dator fungerar
